Title,Responsibility,Associated Places,Publication,Manufacture,Distribution,Date,Approximate Date,Copyright,Edition/Imprint,Pagination,Height,Width,Denomination,Notation,Language,Content,1850-1925,After 1925,Before 1850,Broadside,Confederate Imprint,Convention Gospel,Denominational Publication,Dispersed Harmony,Distributor in South,Ethnographic,Female Author/Publisher,Fraternal Society,Gospel,Liturgical/Devotional Content,Missionary Use,Native Use,Non-White,Occasional,Out-of-Country Publisher,Out-of-Region Publisher,Revival Use,Scientific Music,Singing School Use,Still in Use,Sheet Music,Spirituals,Sunday School Use,Tract Society Publication,Attestations,Source for Record,Emory Holdings,MTSU Holdings,SBTS Holdings,UK Holdings,Notes
Timbrel : a collection of sacred music,"Baker, B. F.; Woodbury, I. B.","New York, NY; Boston, MA; Cincinnati, OH; St. Louis, MO; Charleston, SC; Augusta, GA; Columbus, GA; Mobile, AL",Huntington and Savage; W. J. Reynolds and Co.; H. Derby and Co.; H. Crittenden; McCarter and Allen; Dunham and Blakely; J. W. Pease; F. H. Brooks,,,1850,,1848,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
"Sacred melodeon, The : containing a great variety of the most approved church music ...","Hayden, A. S.","Cincinnati, OH","Moore, Wilstach, Keys and Co.",,,1858,,1849,,?,?,oblong,,?,English,Sacred,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,MTSU,MTSU (local),,Y,,,
"Sacred melodeon, The : containing a great variety of the most approved church music ...","Hayden, A. S.","Cincinnati, OH","Moore, Wilstach, Keys and Co.",,,1860,,1849,,?,?,oblong,,?,English,Sacred,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,MTSU,MTSU (local),,Y,,,
"Sabbath school offering, or, true stories and poems","Martin, Mrs.; Summers, Thomas O.","Nashville, TN","Methodist Episcopal Church, South",E. Stevenson and F. A. Owen,,1855,,1854,,?,?,,"Methodist (MEC,S)",?,English,Sacred,Y,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Songs for the Sabbath school and vestry : designed especially for the Sabbath school and concert,"Williams, B. W.","Boston, MA; Chicago, IL; Cincinnati, OH",Henry Hoyt; William Tomlinson; George Crosby,,,1859,,1858,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"New casket, The : containing sparkling gems ...","Robinson, G. O.","Columbia, SC; Charleston, SC; Richmond, VA; Philadelphia, PA; New York, NY; Savannah, GA","Duffie and Chapman; H. Siegling; Holmes's Book House; Starke and Ryland; Claxton, Remsen adn Haefelfinger; E. J. Hale and Son; John M .Cooper and Co.",,,1881,,1867,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,MTSU,MTSU (local),,Y,,,
"New harp of Columbia, The : a system of musical notation, with a note for each sound, and a shape for each note; containing a variety of most excellent psalm and hymn tunes, odes and anthems, happily adapted to church service, singing-schools and societies ; original and selected","Swan, M. L.","Nashville, TN; Dallas, TX; Richmond, VA","Publishing House of the M. E. Church, South",Smith and Lamar?,,1921,,1867,,?,?,oblong,"Methodist (MEC,S)?",?,English,Sacred,Y,,,,,,Y?,Y,,,,,,,,,,,,,,,Y,Y,,,,,MTSU,MTSU (local),,Y,,,"One MTSU local record mentions Smith and Lamar, but it contains such a large number of typos that I have not reproduced it independently"
New life,"McIntosh, R. M.; Cunnyngham, W. G. E.","Nashville, TN",Southern Methodist Publishing House,,,1882,,1879,,?,?,oblong,"Methodist (MEC,S)",?,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
New life,"McIntosh, R. M.; Cunnyngham, W. G. E.","Nashville, TN",Southern Methodist Publishing House,,,1887,,1879,,?,?,oblong,"Methodist (MEC,S)",?,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"New life : or, Songs and tunes for Sunday-schools, prayer meetings, and revival occasions","McIntosh, R. M.; Cunnyngham, W. G. E.","Nashville, TN",Southern Methodist Publishing House,,,1885,,1879,,?,?,oblong,"Methodist (MEC,S)",?,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Notes of praise : a collection of choice original hymns and tunes ...,"Davis, Frank M.?","Vicksburg, MS",Frank M. Davis,,,1894,,1890,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Song and study,"Vella, Bertha","New York, NY; Cincinnati, OH",The Abingdon Press,,,1912,,1894?,,?,?,,,?,English,Sacred,Y,,,,,,,,Y,,Y,,,,,,,,,Y,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
